Loci,Samples,Length,Gap_Ratio,Observed_Res,Entropy,Pi,PD,PD_stem,PD_stem_SD,PD_terminal,PD_terminal_SD,Tree_Res,Total_GC
misc_feature-ycf1,3,2,0.0000%,33.3333%,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,0.0000%
rRNA-rrn16,304,1966,24.1074%,95.0658%,0.98519588,0.01323724,0.00448873,0.00072045,0.00000775,0.00376828,0.00002757,46.0526%,56.4430%
rRNA-rrn23,304,3291,14.6759%,100.0000%,1.00000000,0.02089966,0.00557262,0.00094754,0.00000404,0.00462508,0.00002463,79.6053%,54.9919%
rRNA-rrn4,274,300,64.9136%,37.5912%,0.54312713,0.02664644,0.00529191,0.00173151,0.00002105,0.00356039,0.00003114,21.5328%,49.5371%
rRNA-rrn5,303,260,53.7928%,31.3531%,0.52356373,0.06910728,0.01063809,0.00495079,0.00019543,0.00568730,0.00013030,15.8416%,51.5109%
spacer-a6-a6,2,108,3.2407%,100.0000%,1.00000000,0.08333333,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,59.3301%
spacer-a6-trnI_GAU,2,311,2.8939%,100.0000%,1.00000000,0.10610932,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,50.0000%
spacer-a6-trnR_ACG,2,277,4.1516%,100.0000%,1.00000000,0.13357401,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,40.8663%
spacer-accD-psaI,268,5817,88.9039%,100.0000%,1.00000000,0.10771423,0.14636867,0.03201211,0.00011085,0.11435656,0.00031094,97.7612%,24.1018%
spacer-accD-psaL,2,709,22.9901%,100.0000%,1.00000000,0.69393512,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,25.0000%
spacer-accD-rbcL,13,2794,70.3128%,100.0000%,1.00000000,0.29625755,0.31256628,0.04115838,0.00319183,0.27140790,0.01153598,76.9231%,29.6578%
spacer-accD-ycf4,3,1002,37.1257%,100.0000%,1.00000000,0.64803726,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,22.0635%
spacer-atpA-atpF,288,365,81.5944%,99.6528%,0.99915000,0.10825000,0.08284907,0.02490992,0.00008168,0.05793915,0.00022107,70.8333%,25.3101%
spacer-atpA-trnR_UCU,14,405,56.5608%,100.0000%,1.00000000,0.43204450,0.42758073,0.07871053,0.00440019,0.34887019,0.01182334,78.5714%,20.0568%
spacer-atpB-atpE,7,139,73.7924%,85.7143%,0.89822652,0.29633436,0.05722334,0.02790211,0.00058214,0.02932123,0.00546854,57.1429%,36.8627%
spacer-atpB-rbcL,273,4842,83.9801%,100.0000%,1.00000000,0.07451409,0.08031617,0.01537461,0.00005221,0.06494156,0.00017717,96.7033%,29.0207%
spacer-atpE-atpB,15,28,34.2857%,60.0000%,0.73363915,0.31530612,0.08157037,0.00995558,0.00151804,0.07161480,0.01353330,33.3333%,31.5217%
spacer-atpE-trnM_CAU,23,490,54.9778%,100.0000%,1.00000000,0.32051303,0.22613666,0.04259820,0.00135784,0.18353846,0.00471059,86.9565%,28.2617%
spacer-atpF-atpA,14,107,37.5167%,100.0000%,1.00000000,0.34764301,0.25610891,0.04521145,0.00283827,0.21089746,0.01004015,57.1429%,24.6795%
spacer-atpF-atpH,288,3103,86.0255%,100.0000%,1.00000000,0.11294128,0.12651425,0.02769537,0.00010018,0.09881887,0.00023845,95.8333%,29.7053%
spacer-atpH-atpF,14,841,46.8235%,100.0000%,1.00000000,0.36978479,0.23969122,0.04299154,0.00280176,0.19669969,0.00664838,78.5714%,29.7876%
spacer-atpH-atpI,282,7523,87.2242%,100.0000%,1.00000000,0.09973730,0.11779681,0.02400109,0.00009754,0.09379572,0.00023658,97.1631%,28.8557%
spacer-atpH-atpL,2,1112,29.2266%,100.0000%,1.00000000,0.75449640,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,29.9873%
spacer-atpI-atpH,14,1932,52.6989%,100.0000%,1.00000000,0.40568903,0.30862377,0.04543180,0.00399391,0.26319198,0.01307036,78.5714%,28.8260%
spacer-atpI-rps2,282,1672,86.2101%,100.0000%,1.00000000,0.07205864,0.09184346,0.01951641,0.00006897,0.07232705,0.00019851,85.8156%,26.3903%
spacer-atpL-rps2,2,258,10.4651%,100.0000%,1.00000000,0.39534884,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,25.7576%
spacer-ccsA-ndhD,252,4055,93.4911%,100.0000%,1.00000000,0.05909413,0.16648416,0.04246637,0.00017195,0.12401779,0.00030862,96.8254%,27.6465%
spacer-ccsA-psaC,12,2179,47.7207%,100.0000%,1.00000000,0.52478201,0.28930842,0.05520871,0.00470067,0.23409971,0.01599579,75.0000%,31.7045%
spacer-ccsA-trnL_UAG,31,455,76.1574%,100.0000%,1.00000000,0.18078223,0.24101066,0.05577381,0.00157392,0.18523685,0.00367753,87.0968%,26.1374%
spacer-cemA-pafiI,4,1076,25.3485%,100.0000%,1.00000000,0.54910161,0.41433878,0.01499853,0.00000000,0.39934025,0.08844316,25.0000%,29.8164%
spacer-cemA-petA,281,1981,88.4087%,100.0000%,1.00000000,0.05681443,0.08541522,0.01685764,0.00006035,0.06855758,0.00018462,89.6797%,32.0764%
spacer-cemA-ycf4,12,1309,41.0428%,100.0000%,1.00000000,0.47899160,0.29241473,0.04034971,0.00270200,0.25206502,0.01206082,75.0000%,29.1221%
spacer-clpP-psbB,248,3757,87.6693%,100.0000%,1.00000000,0.05521333,0.08447321,0.01656447,0.00007513,0.06790874,0.00020464,94.7581%,30.3717%
spacer-clpP-psbT,2,2255,4.1020%,100.0000%,1.00000000,0.17339246,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,39.7688%
spacer-clpP-rpl20,4,1618,33.9926%,100.0000%,1.00000000,0.44839308,0.20418846,0.02164872,0.00000000,0.18253974,0.02873083,25.0000%,34.1994%
spacer-clpP-rps12,4,215,22.2093%,100.0000%,1.00000000,0.43410853,0.20366295,0.02988458,0.00000000,0.17377837,0.01701078,25.0000%,26.4574%
spacer-clpp1-psbB,25,866,47.9215%,100.0000%,1.00000000,0.21040031,0.12938445,0.02402067,0.00068174,0.10536379,0.00217693,84.0000%,30.9800%
spacer-clpp1-rps12,2,166,6.9277%,100.0000%,1.00000000,0.53614458,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,31.0680%
spacer-infA-rpl36,6,290,59.8851%,100.0000%,1.00000000,0.51080460,0.18388460,0.03821489,0.00920696,0.14566971,0.01589238,50.0000%,31.9484%
spacer-infA-rps8,217,734,82.7308%,100.0000%,1.00000000,0.08940058,0.10133886,0.02171192,0.00014857,0.07962695,0.00034638,81.1060%,35.5050%
spacer-lhbA-trnG_GCC,3,360,13.4259%,100.0000%,1.00000000,0.33888889,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,26.6310%
spacer-lhbA-trnG_UCC,9,1369,53.3074%,100.0000%,1.00000000,0.47189757,0.19640277,0.05501061,0.00822301,0.14139217,0.00853639,66.6667%,20.2851%
spacer-matK-accD,2,2299,32.9709%,100.0000%,1.00000000,0.83906046,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,35.5289%
spacer-matK-psbA,11,1109,47.1924%,100.0000%,1.00000000,0.29179441,0.18332335,0.03548476,0.00410813,0.14783859,0.00715346,72.7273%,31.9776%
spacer-matK-rbcL,2,1881,9.6225%,100.0000%,1.00000000,0.44497608,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,28.8824%
spacer-matK-rps16,254,12661,87.6381%,100.0000%,1.00000000,0.08664690,0.11992128,0.02811972,0.00009437,0.09180156,0.00021282,98.8189%,29.6873%
spacer-matK-trnK_UUU,3,805,12.5880%,100.0000%,1.00000000,0.39213251,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,34.3439%
spacer-matK-trnQ_UUG,26,8226,68.4556%,100.0000%,1.00000000,0.31705063,0.22309423,0.03477642,0.00085590,0.18831782,0.00379178,88.4615%,27.7799%
spacer-ndhA-ndhH,250,665,99.3654%,3.2000%,0.03299945,0.00968687,0.01061313,0.00062458,0.00002854,0.00998855,0.00045286,1.2000%,28.3412%
spacer-ndhA-ndhI,31,510,80.5060%,100.0000%,1.00000000,0.12336496,0.15187082,0.03906647,0.00101705,0.11280435,0.00259151,87.0968%,27.1901%
spacer-ndhB-rps7,275,1460,78.0809%,98.1818%,0.99551248,0.05009279,0.01890034,0.00333161,0.00001968,0.01556873,0.00015102,48.3636%,35.1912%
spacer-ndhB-trnL_CAA,13,718,19.9379%,100.0000%,1.00000000,0.15164988,0.04601831,0.00952892,0.00129068,0.03648939,0.00202660,76.9231%,36.6386%
spacer-ndhB-trnL_GAG,4,584,6.1644%,100.0000%,1.00000000,0.11558219,0.01428785,0.00105657,0.00000000,0.01323128,0.00176065,25.0000%,36.5876%
spacer-ndhB-trnV_GAC,3,3705,11.6059%,100.0000%,1.00000000,0.23166892,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,38.5344%
spacer-ndhC-ndhK,11,70,19.6104%,100.0000%,1.00000000,0.31064935,0.14187447,0.02683507,0.00231449,0.11503940,0.00740634,72.7273%,23.5864%
spacer-ndhC-rbcL,4,1767,36.7855%,100.0000%,1.00000000,0.51528014,0.18985285,0.00708712,0.00000000,0.18276573,0.03328203,25.0000%,27.0143%
spacer-ndhC-trnC_ACA,4,1491,37.2904%,100.0000%,1.00000000,0.54482450,0.27229656,0.01676544,0.00000000,0.25553111,0.02270413,25.0000%,23.4225%
spacer-ndhC-trnM_CAU,8,3211,36.3633%,100.0000%,1.00000000,0.42148641,0.18974980,0.04415525,0.00330746,0.14559455,0.00583443,62.5000%,30.7579%
spacer-ndhC-trnV,5,1283,33.9361%,100.0000%,1.00000000,0.40163679,0.18994219,0.02705527,0.01023678,0.16288692,0.03146584,40.0000%,27.4186%
spacer-ndhC-trnV_TAC,3,2182,25.1146%,100.0000%,1.00000000,0.52627559,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,32.8233%
spacer-ndhC-trnV_UAC,233,8988,88.1953%,100.0000%,1.00000000,0.12434220,0.16284613,0.03633801,0.00014981,0.12650812,0.00037079,97.8541%,28.8002%
spacer-ndhC-trnY_GUA,2,924,5.2489%,100.0000%,1.00000000,0.29761905,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,28.4409%
spacer-ndhD-ccsA,28,1172,76.2951%,100.0000%,1.00000000,0.21425186,0.25301906,0.05532959,0.00191044,0.19768947,0.00425590,89.2857%,28.0595%
spacer-ndhD-psaC,254,1117,87.2356%,99.6063%,0.99901435,0.08857905,0.08456146,0.02469188,0.00025861,0.05986959,0.00018019,88.5827%,33.2266%
spacer-ndhE-ndhG,254,1681,86.3111%,100.0000%,1.00000000,0.09294769,0.13030366,0.03255431,0.00014375,0.09774936,0.00025789,91.3386%,25.3696%
spacer-ndhE-psaC,30,574,51.4518%,100.0000%,1.00000000,0.27297849,0.16960170,0.03361614,0.00091107,0.13598555,0.00284968,90.0000%,25.9181%
spacer-ndhE-rps15,2,1857,28.7830%,100.0000%,1.00000000,0.74367259,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,30.0945%
spacer-ndhF-ndhE,2,664,29.0663%,100.0000%,1.00000000,0.78012048,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,26.0085%
spacer-ndhF-rpl32,234,6266,85.5677%,100.0000%,1.00000000,0.14895166,0.19540249,0.04697317,0.00019849,0.14842932,0.00040228,98.7179%,23.1222%
spacer-ndhF-trnL_UAG,21,4611,72.2568%,100.0000%,1.00000000,0.30630996,0.34206633,0.04915725,0.00178141,0.29290909,0.00637915,85.7143%,22.7479%
spacer-ndhF-trnN,2,1517,38.5630%,100.0000%,1.00000000,0.81147001,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,36.2661%
spacer-ndhF-trnN_GUU,10,6994,73.9248%,100.0000%,1.00000000,0.27534077,0.05684314,0.01155834,0.00110232,0.04528480,0.00448046,60.0000%,33.5856%
spacer-ndhF-ycf1,5,416,70.7212%,100.0000%,1.00000000,0.51250000,0.23814083,0.23813851,0.02335869,0.00000232,0.00000003,40.0000%,28.8998%
spacer-ndhG-ndhE,30,434,51.3057%,100.0000%,1.00000000,0.29624980,0.18813888,0.03282674,0.00105748,0.15531213,0.00397561,86.6667%,25.7729%
spacer-ndhG-ndhI,253,2847,86.9872%,100.0000%,1.00000000,0.10487350,0.14693697,0.03110846,0.00011583,0.11582851,0.00030782,96.4427%,25.8450%
spacer-ndhH-ndhA,34,581,96.8816%,8.8235%,0.10055660,0.05890637,0.00000015,0.00000003,0.00000001,0.00000012,0.00000001,2.9412%,36.0390%
spacer-ndhH-ndhF,3,1080,31.4198%,100.0000%,1.00000000,0.60061728,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,30.9631%
spacer-ndhH-rps15,247,861,87.3074%,100.0000%,1.00000000,0.06748074,0.08506510,0.02114548,0.00011339,0.06391962,0.00025228,77.7328%,25.3844%
spacer-ndhI-ndhA,252,453,80.7719%,99.6032%,0.99900511,0.10069872,0.09709342,0.02397880,0.00009846,0.07311462,0.00025104,80.1587%,24.7973%
spacer-ndhI-ndhG,31,5947,90.9019%,100.0000%,1.00000000,0.10573037,0.20085370,0.05041867,0.00134087,0.15043503,0.00287361,90.3226%,28.8619%
spacer-ndhJ-ndhC,3,915,6.1202%,100.0000%,1.00000000,0.22513661,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,35.8168%
spacer-ndhJ-ndhK,263,1478,92.0896%,99.6198%,0.99905403,0.04465319,0.08558823,0.02050482,0.00007149,0.06508341,0.00019019,79.4677%,29.4871%
spacer-ndhJ-psbG,3,120,14.1667%,100.0000%,1.00000000,0.38333333,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,28.4790%
spacer-ndhJ-trnF_GAA,18,1213,48.4291%,100.0000%,1.00000000,0.39790074,0.25670697,0.02963620,0.00150059,0.22707077,0.00597629,83.3333%,30.0089%
spacer-ndhK-ndhC,164,148,62.7843%,99.3902%,0.99834250,0.14842774,0.07671621,0.01967386,0.00013370,0.05704235,0.00039338,60.9756%,24.7094%
spacer-ndhK-ndhJ,16,195,44.2308%,100.0000%,1.00000000,0.31662393,0.18065668,0.03151374,0.00275857,0.14914294,0.00400477,68.7500%,28.7356%
spacer-orf42-orf56,3,195,0.3419%,100.0000%,1.00000000,0.02735043,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,55.9177%
spacer-orf42-rrn23,2,786,3.3079%,100.0000%,1.00000000,0.08524173,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,49.8684%
spacer-orf42-trnI_GAT,2,230,0.0000%,100.0000%,1.00000000,0.00434783,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,48.9130%
spacer-orf42-trnI_GAU,3,237,1.6878%,100.0000%,1.00000000,0.03094233,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,49.4993%
spacer-orf56-rrn23,3,476,18.3473%,100.0000%,1.00000000,0.25280112,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,47.8559%
spacer-pafI-psaA,2,854,12.5293%,100.0000%,1.00000000,0.43559719,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,30.5890%
spacer-pafI-trnS_GGA,20,1333,49.4149%,100.0000%,1.00000000,0.40688988,0.20871510,0.03790751,0.00196024,0.17080759,0.00502605,85.0000%,29.6011%
spacer-pafiI-cemA,22,1468,58.2239%,100.0000%,1.00000000,0.41752185,0.21505840,0.04064786,0.00177783,0.17441053,0.00447198,86.3636%,31.0332%
spacer-pafiI-psaI,4,509,24.6562%,100.0000%,1.00000000,0.46201703,0.21414647,0.00800330,0.00000000,0.20614316,0.03546069,25.0000%,32.7901%
spacer-pbf1-psbH,33,190,42.3604%,100.0000%,1.00000000,0.15496411,0.06998641,0.01431393,0.00043784,0.05567248,0.00162699,69.6970%,27.1444%
spacer-pbf1-psbT,3,65,5.1282%,100.0000%,1.00000000,0.16410256,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,35.6757%
spacer-petA-cemA,17,321,31.9590%,100.0000%,1.00000000,0.34659612,0.18309113,0.03363014,0.00249179,0.14946099,0.00442325,76.4706%,31.6994%
spacer-petA-psbJ,281,5687,83.5160%,100.0000%,1.00000000,0.13544453,0.12597138,0.02593900,0.00008734,0.10003238,0.00023408,98.2206%,30.5303%
spacer-petA-trnE_UUC,2,2264,29.1961%,100.0000%,1.00000000,0.80697880,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,33.9364%
spacer-petB-petD,286,2247,88.0297%,100.0000%,1.00000000,0.08734718,0.06889977,0.01420131,0.00005096,0.05469847,0.00014073,81.4685%,30.0120%
spacer-petB-psbH,10,1283,70.1247%,100.0000%,1.00000000,0.37116134,0.14953730,0.01660852,0.00230630,0.13292878,0.00476224,70.0000%,33.5247%
spacer-petB-rpoA,2,1673,5.1405%,100.0000%,1.00000000,0.25642558,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,35.0977%
spacer-petD-petB,10,1055,60.9289%,100.0000%,1.00000000,0.38445498,0.11653745,0.01962528,0.00283659,0.09691218,0.00542331,50.0000%,32.5813%
spacer-petD-rpoA,281,1705,88.6465%,100.0000%,1.00000000,0.08736531,0.12232391,0.03209678,0.00012212,0.09022713,0.00025473,91.4591%,27.7654%
spacer-petD-rps11,4,1378,17.8157%,100.0000%,1.00000000,0.45307209,0.22623579,0.00593495,0.00000000,0.22030084,0.04696738,25.0000%,32.6490%
spacer-petG-petL,15,253,28.6430%,100.0000%,1.00000000,0.29836251,0.17138761,0.03652688,0.00256675,0.13486073,0.00415131,80.0000%,28.4712%
spacer-petG-trnP_UGG,2,136,4.4118%,100.0000%,1.00000000,0.21323529,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,33.8462%
spacer-petG-trnW,5,141,15.8865%,100.0000%,1.00000000,0.30070922,0.14526638,0.01687930,0.00000000,0.12838708,0.01276313,20.0000%,31.3659%
spacer-petG-trnW_CCA,278,828,84.9685%,100.0000%,1.00000000,0.08465072,0.09784396,0.02382655,0.00009386,0.07401741,0.00022702,79.8561%,31.2753%
spacer-petL-petG,282,770,77.0798%,100.0000%,1.00000000,0.09243301,0.09042449,0.01947770,0.00007341,0.07094679,0.00018357,86.5248%,28.2184%
spacer-petL-psbE,14,2733,54.0249%,100.0000%,1.00000000,0.33028954,0.23162599,0.02345207,0.00132694,0.20817392,0.01297280,78.5714%,29.7709%
spacer-petN-psbM,281,5971,83.9743%,100.0000%,1.00000000,0.13978409,0.12045179,0.02285585,0.00008433,0.09759594,0.00023149,98.2206%,28.9108%
spacer-petN-trnC_GCA,17,1432,52.4688%,100.0000%,1.00000000,0.41983651,0.27496624,0.03798533,0.00193644,0.23698091,0.00664584,82.3529%,32.1321%
spacer-psaA-pafI,20,1656,54.6981%,100.0000%,1.00000000,0.26652682,0.18656152,0.02618899,0.00099900,0.16037252,0.00475071,85.0000%,30.2253%
spacer-psaA-psaB,14,25,0.0000%,21.4286%,0.24856441,0.02197802,0.00906562,0.00294185,0.00088253,0.00612377,0.00157705,14.2857%,43.4286%
spacer-psaA-trnS_GGA,2,4102,23.2326%,100.0000%,1.00000000,0.56679668,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,31.6926%
spacer-psaA-ycf3,264,6077,88.1429%,100.0000%,1.00000000,0.07346531,0.09918071,0.02182524,0.00007110,0.07735547,0.00018953,97.7273%,30.5661%
spacer-psaB-psaA,287,2343,98.5843%,10.8014%,0.19190675,0.00725482,0.00411267,0.00141190,0.00002676,0.00270077,0.00005073,5.5749%,42.9517%
spacer-psaB-rps14,13,231,44.8884%,100.0000%,1.00000000,0.24486624,0.15196848,0.02244613,0.00119755,0.12952235,0.00747513,76.9231%,33.9577%
spacer-psaC-ccsA,4,1992,37.1109%,100.0000%,1.00000000,0.59069612,0.33078001,0.06882227,0.00000000,0.26195773,0.04006919,25.0000%,30.2734%
spacer-psaC-ndhD,28,543,71.9942%,100.0000%,1.00000000,0.21236127,0.10464425,0.02127020,0.00058804,0.08337405,0.00300078,78.5714%,33.9596%
spacer-psaC-ndhE,258,3514,90.9118%,100.0000%,1.00000000,0.06993558,0.12448210,0.02782851,0.00010835,0.09665360,0.00026420,94.9612%,24.2211%
spacer-psaC-rps15,4,2286,48.1518%,100.0000%,1.00000000,0.61300671,0.48277620,0.04344153,0.00000000,0.43933467,0.06084243,25.0000%,28.5805%
spacer-psaI-accD,13,1267,55.1879%,100.0000%,1.00000000,0.41054986,0.28421750,0.03996403,0.00281213,0.24425347,0.00715456,76.9231%,24.4953%
spacer-psaI-pafiI,22,858,54.5984%,100.0000%,1.00000000,0.27950332,0.16712532,0.03080459,0.00170849,0.13632073,0.00280765,86.3636%,31.9603%
spacer-psaI-rps4,2,1159,19.2407%,100.0000%,1.00000000,0.60310613,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,27.6709%
spacer-psaI-ycf4,257,1903,79.0691%,100.0000%,1.00000000,0.11513286,0.09562384,0.01829350,0.00009139,0.07733034,0.00021975,91.8288%,32.1989%
spacer-psaJ-rpl33,285,3414,86.5753%,100.0000%,1.00000000,0.09494334,0.12883678,0.02578595,0.00008581,0.10305083,0.00025420,97.8947%,29.4017%
spacer-psaJ-trnP_UGG,14,673,40.2038%,100.0000%,1.00000000,0.32416766,0.20147357,0.02939627,0.00174689,0.17207731,0.00757287,78.5714%,28.7362%
spacer-psaL-ycf4,2,434,10.8295%,100.0000%,1.00000000,0.46313364,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,32.2997%
spacer-psbA-matK,10,7094,83.0223%,100.0000%,1.00000000,0.23506249,0.24824246,0.03233945,0.00135684,0.21590301,0.01126896,70.0000%,36.5120%
spacer-psbA-trnF_AAA,2,296,6.0811%,100.0000%,1.00000000,0.24324324,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,26.0791%
spacer-psbA-trnH_GUG,13,656,45.4972%,100.0000%,1.00000000,0.49671670,0.41577436,0.05504098,0.00276373,0.36073338,0.01005257,76.9231%,24.0964%
spacer-psbA-trnK,11,385,35.3955%,100.0000%,1.00000000,0.34739079,0.16728528,0.03229722,0.00130406,0.13498806,0.00368989,72.7273%,28.0336%
spacer-psbA-trnK_TTT,6,340,20.4902%,100.0000%,1.00000000,0.36274510,0.16615202,0.07525333,0.00576219,0.09089869,0.01161145,50.0000%,30.1480%
spacer-psbA-trnK_UUU,252,2101,87.8892%,100.0000%,1.00000000,0.07136912,0.10376410,0.02405836,0.00007954,0.07970573,0.00022387,90.8730%,28.5819%
spacer-psbB-clpP,5,516,13.9922%,100.0000%,1.00000000,0.28178295,0.12975785,0.00902109,0.00231153,0.12073676,0.00609752,40.0000%,29.7882%
spacer-psbB-clpp1,2,472,3.1780%,100.0000%,1.00000000,0.26694915,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,30.3063%
spacer-psbB-psbT,289,1877,90.1669%,100.0000%,1.00000000,0.04888569,0.09476674,0.02206170,0.00007657,0.07270505,0.00019787,86.8512%,32.7484%
spacer-psbC-trnS,4,265,15.9434%,100.0000%,1.00000000,0.38993711,0.17864762,0.01701586,0.00000000,0.16163176,0.03918235,25.0000%,33.8945%
spacer-psbC-trnS_TGA,8,363,32.5758%,100.0000%,1.00000000,0.35694608,0.17332635,0.05273097,0.00368147,0.12059538,0.00887279,62.5000%,34.4229%
spacer-psbC-trnS_UGA,268,1082,80.2466%,100.0000%,1.00000000,0.12878509,0.11021816,0.02532469,0.00009487,0.08489348,0.00022645,91.7910%,33.9385%
spacer-psbC-trnUNKNOWN_UCA,2,219,9.3607%,100.0000%,1.00000000,0.32420091,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,34.5088%
spacer-psbD-trnT_GGU,12,2679,48.5536%,100.0000%,1.00000000,0.36004502,0.21963789,0.02788596,0.00181874,0.19175193,0.00945696,75.0000%,28.3451%
spacer-psbE-petG,2,2497,38.7265%,100.0000%,1.00000000,0.82458951,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,36.8464%
spacer-psbE-petL,279,7288,84.0136%,100.0000%,1.00000000,0.11242791,0.10912271,0.02199306,0.00007924,0.08712964,0.00020730,98.9247%,29.7658%
spacer-psbE-psbF,18,14,32.5397%,72.2222%,0.85671355,0.21101774,0.09120992,0.03746412,0.00202999,0.05374581,0.00471159,50.0000%,64.7059%
spacer-psbF-psbE,281,79,87.3238%,20.9964%,0.53532247,0.05147883,0.01896414,0.01283452,0.00015835,0.00612962,0.00008785,18.1495%,66.5245%
spacer-psbF-psbL,14,81,66.4903%,100.0000%,1.00000000,0.18993352,0.12675401,0.04042538,0.00515838,0.08632864,0.00566538,50.0000%,31.8421%
spacer-psbG-ndhC,3,55,0.0000%,100.0000%,1.00000000,0.13333333,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,23.0303%
spacer-psbH-pbf1,3,107,2.4922%,100.0000%,1.00000000,0.10280374,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,28.7540%
spacer-psbH-petB,288,1827,90.4517%,99.6528%,0.99915000,0.07992744,0.07743738,0.01844180,0.00007525,0.05899558,0.00016158,76.0417%,33.6637%
spacer-psbH-petD,2,2566,3.1761%,100.0000%,1.00000000,0.19992206,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,34.3127%
spacer-psbH-psbN,7,110,9.3506%,100.0000%,1.00000000,0.19913420,0.06573424,0.00661264,0.00074621,0.05912160,0.00297148,42.8571%,27.2206%
spacer-psbH-rpoA,2,3190,42.0690%,100.0000%,1.00000000,0.88683386,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,33.6580%
spacer-psbI-psbK,15,1185,65.4852%,100.0000%,1.00000000,0.29762508,0.25898904,0.04388257,0.00287806,0.21510647,0.01038564,80.0000%,28.2152%
spacer-psbI-trnA_AGC,2,86,5.8140%,100.0000%,1.00000000,0.31395349,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,22.8395%
spacer-psbI-trnG_UCC,2,1266,22.5118%,100.0000%,1.00000000,0.65323855,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,25.2548%
spacer-psbI-trnS,6,162,27.3663%,100.0000%,1.00000000,0.43415638,0.26512800,0.03431963,0.00689626,0.23080838,0.03351873,50.0000%,22.6629%
spacer-psbI-trnS_GCT,7,209,32.7409%,100.0000%,1.00000000,0.52563226,0.33816716,0.10348879,0.01868224,0.23467837,0.03297402,57.1429%,29.1667%
spacer-psbI-trnS_GCU,259,1065,86.8918%,100.0000%,1.00000000,0.11754733,0.17317038,0.04271633,0.00015762,0.13045405,0.00039033,93.4363%,23.7520%
spacer-psbI-trnS_GGA,5,189,25.3968%,100.0000%,1.00000000,0.59894180,0.53367897,0.19024370,0.01579840,0.34343528,0.03577402,40.0000%,24.5390%
spacer-psbJ-petA,16,1713,46.5558%,100.0000%,1.00000000,0.45210158,0.27043916,0.04010566,0.00272070,0.23033350,0.00571124,81.2500%,29.4784%
spacer-psbJ-psbB,2,2835,43.1570%,100.0000%,1.00000000,0.91675485,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,32.6404%
